Domain	Prof	Title	Description	Requirments
אינטרנט	QA Web	מהנדס/ת אוטומציה לחברת סטאטראפ צומחת ברמת גן (בורסה)	"תיאור
הזדמנות להיות מפתח/ת האוטומציה הראשון/ה בחברת סטארטאפ מבטיחה העוסקת בעולמות הCloud!
עוסקים בפיתוח פלטפורמה מורכבת שיודעת לבנות מודלים סימולטיבים לכל שינוי שמפתחים או אנשי DevOps מעוניינים לעשות בתשתיות ענן ולאתר בעיות אפשריות לפני שמורידים לפרודקשיין.
מונים 10 עובדים. הוקמו על ידי פאונדרים אשר ביצעו אקזיטים בעברם.
עובדים בשילוב מהבית ומהמשרדים. עבודה בGood Vibes ושמירה על איזון בית-עבודה, תנאים טובים ואופציות."	"דרישות
- נסיון של שנתיים באוטומציה Python
- Cloud"
אינטרנט	QA Web	בודק תוכנה בסביבת דיגיטל	"תיאור
לחברה בתחום הביטוח והפיננסים דרוש בודק תוכנה עם ניסיון בבדיקות בתחום הדיגיטל לתפקיד מאתגר ומגוון. התפקיד כולל גם תמיכה בניהול פרויקטים ויישום תהליכים דיגיטליים."	"דרישות
- 3-5 שנות ניסיון בבדיקות בעולם הדיגיטל
- ניסיון בכתיבת מסמכי בדיקות – STD, STR
- ניסיון בכתיבת שאילתות SQL
- עבודה מוכחת בכלים כגון QC, SoapUI, XML
- ניסיון בבדיקות Rest API, JSON, HTTP
- ידע בקריאת מסמכי אפיון
*המשרה פונה לנשים וגברים כאחד*"
אינטרנט	QA Web	QA ידני/ת	"תיאור
לחברת RealCommerce דרוש/ה בודק/ת QA מנוסה בבדיקות בסביבת אתרים ואפליקציות לMobile, לתפקיד מאתגר במיוחד ??
שלחו קורות חיים עכשיו!"	"דרישות
ניסיון של שנתיים ומעלה בבדיקות ידניות בסביבת Web – חובה
ניסיון בכתיבת תסריטים ותיעוד תקלות, בדיקות רגרסיה ושפיות – חובה
ניסיון בעבודה מול מסמכי אפיון - חובה
ניסיון בבדיקות רספונסיביות ודפדפני Mobile – חובה
ניסיון (או ידע תאורטי) בבדיקות API (Json, XML)
היכרות עם SQL ו-HTML–יתרון"
אינטרנט	QA Web	בודק/ת תוכנה דיגיטל בכיר/ה	"תיאור
לארגון פיננסי מוביל באיזור המרכז דרוש/ה בודק/ת תוכנה בכיר עם ניסיון בדיגיטל"	"דרישות
ניסיון לפחות 3-5 שנים בתכנון וביצוע בדיקות בפרוייקטי תוכנה בעולם הדיגיטל
נסיון בקריאה והבנת מסמכי אפיון, כתיבת מסמכי STD ו STR והבנה במתודולוגיית בדיקות
כתיבת SQL -חובה
בדיקות טכניות עם כלים כגון SoapUI/XML"
אינטרנט	QA Web	QA WEB ידני ואוטומציה	"תיאור
למחלקת הדיגיטל בארגון ENT מוביל דרוש.ה בודק.ת עם ניסיון מעמיק בעולמות הWEB והMOBILE"	"דרישות
- לפחות 3 שנות ניסיון בבדיקת שירותים ותהליכים דיגיטליים – מערכות web מורכבות עם אינטגרציה ביניהן - חובה
- עבודה עם כלי SoapUI או postman - חובה
- ניסיון עבודה ב-SELENIUM - חובה
- יתרון מובהק לבעלי ניסיון עם כלי Test Cafe/Appium/Cypress/Cucumber ובעלי ניסיון במתודולוגיית AGILE SCRUM/KANBAN"
אינטרנט	QA Web	לחברה מדהימה בתחום הסקיוריטי בתל אביב דרוש/ה QA Engineer	"תיאור
אנחנו ממומנים היטב מקרנות הון סיכון מובילות בארה""ב, קיימים כבר 6 שנים, יש לנו 100 לקוחות פעילים ומשלמים - חברות גדולות ומצליחות מאד, צמחנו ל100 עובדים ואנחנו לאחר גיוס של 24 מליון דולר ממש מהתקופה האחרונה.
אנחנו ממשיכים להתרחב כל הזמן ונשמח לצרף אלינו QA Engineer לביצוע של בדיקות ידניות כחלק מצוות. בעיקר ביצוע של בדיקות UI וגם בדיקות Server.
אנחנו מעניקים תנאים מעולים, בתקופה זו עובדים מהבית ובשגרה ישנה גמישות להעדפת כל עובד ועובדת.
נשמח שתצטרף/י לצמיחה שלנו!"	"דרישות
4 שנות נסיון בבדיקות מחברות Security"
אינטרנט	QA Web	למשרד ממשלתי דרוש/ה QA	"תיאור
למשרד ממשלתי בירושלים דרוש/ה איש/ת QA למשרה זמנית
תפקיד מאתגר בסביבת עבודה צעירה ודינאמית,
כולל כל ההטבות שמתלוות לעבודה במגזר הציבורי."	"דרישות
4שנתיים ניסיון בבדיקות תוכנה
ניסיון בבדיקות מערכות מורכבות או מרכזיות ומרובות משתמשים
ניסיון בכתיבת STD, STP ו STR
ניסיון בבדיקות ידניות
ניסיון בבדיקת מערכות Web
ניסיון בהרצת בדיקות אוטומציה - יתרון
השכלה רלוונטית"
אינטרנט	QA Web	בודק/ת תוכנה לחברת ביטוח מובילה	"תיאור
לחברת ביטוח מובילה באזור המרכז דרוש/ה QA עם ניסיון בביטוח חיים לצוות בדיקות מוביל.
הזמדנות מעולה להשתלב בצוות מוביל עם אופציות פיתוח ותנאים מעולים!
מדובר על משרה לטווח הארוך, משרה מלאה."	"דרישות
ניסיון בבדיקות בתחום ביטוח חיים- הכרחי
חובה לפחות שנתיים בבדיקות תוכנה
עבודה מול SQL"
אינטרנט	QA Web	QA Automation Developer לחברת סייבר בתל אביב	"תיאור
השנה האחרונה עודדה מחשבה על שינויים בתחום התעסוקתי, ואם את/ה מוכן/ה לאתגר חדש, יש לנו מה להציע לך.
אנחנו חברת סטארטאפ בתחום הסייבר ההגנתי אשר מפתחת פלטפורמה לגילוי ומניעת מתקפות באופן אוטומטי.
מחפשים מפתח/ת אוטומציה למשרת פיתוח טסטים ושדרוג Framework בPython עם Selenium.
המוצר שלנו הינו יחודי וחדשני.
יש לנו למעלה מ200 לקוחות משלמים בעולם.
דואגים לעובדים שלנו עם תנאים טובים ופעילויות רווחה. שלחו קורות חיים!"	"דרישות
- נסיון של שנה באוטומציה Python
- Selenium"
אינטרנט	QA Web	"לביה""ס המוביל בארץ למסחר אלקטרוני דרוש מנטור לקורס איביי"	"תיאור
דרוש/ה מנטור/ית לצוות המעולה, הסופר - מקצועי והכיפי שלנו
שיתן הדרכה ותמיכה לתלמידי קורס הקמת עסק מקצועי באיביי
לעבודה מהבית
כמה דברים אודות המשרה:
1. מדובר בעבודת הדרכה ולימוד מהבית בקורסי איביי שלנו
2. מדובר על משרת פרילנס חלקית של כשעתיים ביום (על פי קצב פתיחת הקורסים)
3. מדובר בעבודה שעיקרה מול המחשב, וכוללת גם שיחות טלפון יזומות ונכנסות."	"דרישות
אם הינך סוחר פעיל בהווה באיביי כולל ניסיון בעבודה עם ספקים! זה בשבילך!
אם יש לך ניסיון בהדרכה זה בשבילך!
אם יש לך יכולת התנסחות גבוהה בכתב ובעל פה זה בשבילך!
אם את/ה אוהב/ת לעזור לאנשים ולתת שירות מכל הלב, זה עבורך!
אם את/ה מתחבר/ת לתחום ומאמינ/ה בדרך זו להשגת מטרות, זה עבורך!
אם את/ה נהנ/ית לדבר ולעבוד עם אנשים זה בשבילך!
אם את/ה אוהבת לפתור דילמות ולתת לאנשים תשובות זה בשבילך!
באופן שבו הם יכולים ליישם אותן, זה בשבילך!
אם יש לך כושר ביטוי גבוה, זה בשבילך!
אם יש לך סבלנות, זה בשבילך!
אם יש לך משמעת עצמית גבוהה, זה בשבילך!
אם את/ה בן אדם כייפי, חיובי ואנרגטי, זה בשבילך!"
אינטרנט	QA Web	תוכניתן/נית javascript / front-end	"תיאור
לחברת אינטרנט מובילה דרוש/ה תוכניתן/נית Front End
לפיתוח מערכות Javascript.
עבודה במשרה מלאה בימים א’-ה’ בין השעות 9-18 ללא שעות נוספות.
עבודה באזור בקעת אונו (נגישות לכל איזור המרכז)."	"דרישות
ניסיון של שנתיים ומעלה בפיתוח ב- Javascript, Jquery חובה.
ניסיון של שנה ומעלה ב-Html5, CSS.
ידע בפיתוח Chrome Apps - יתרון."
אינטרנט	QA Web	דרוש/ה מפתח Full stack Web	"תיאור
לחברה איכותית ומובילה בתחומה דרוש/ה מפתח Full stack Web.
עבודה במשרה מלאה בימים א’-ה’ בין השעות 9-18 ללא שעות נוספות.
עבודה באזור בקעת אונו (נגישות לכל איזור המרכז)."	"דרישות
דרישות התפקיד:
ניסיון של שנתיים ומעלה בפיתוח Web - חובה
ניסיון של שנתיים ומעלה ב: javascript, Css, Html5, JQuery - חובה
ניסיון של שנתיים ומעלה ב: PHP , MS-SQL/mySQL.
ניסיון בפיתוח Classic ASP / VBScript - יתרון."
אינטרנט	QA Web	משרת QA לחברת ביטוח מובילה במרכז	"תיאור
אחת מקבוצות הביטוח והפיננסים הגדולות בישראל, שמובילה את ענף ביטוחי הבריאות ומעניקה כיסוי ביטוחי מקיף למיליוני מבוטחים מגייסת QA.
אם גם בך יש את הרצון להיות חלק ממשפחה גדולה ומתגמלת, ואת/ה בעל/ת מוטיבציה להצלחה ורצון ללמוד, להתפתח ולמצות את הכישורים והיכולות שלך – מקומך איתנו!"	"דרישות
שנתיים ניסיון ב- QA
ניסיון מחברות ביטוח"
אינטרנט	QA Web	משרת פיתוח אוטומציה בחברה מדהימה בתחום הרכב האוטונומי במרכז	"תיאור
אנחנו מחפשים מפתח/ת אוטומציה לתקן מיוחד הכולל פיתוח ב++C/C ובPython וביצוע בדיקות למוצר תוכנה Automotive.
אנחנו עוסקים בפיתוח מערכת בענן לזיהוי תקלות תוכנה ברכבים אוטונומיים ותיקונים בReal Time.
נמצאים בימים אלו בתנופה עם לקוחות קיימים - יצרני רכבים גלובליים גדולים.
אנחנו 20 עובדים, יושבים בלב תל אביב.
נשמח לקבל את קורות החיים שלך."	"דרישות
- 3 שנות נסיון בפיתוח אוטומציה ++C/C
- Linux"
אינטרנט	QA Web	מפתח/ת אוטומציה לחברת סטארט-אפ פורצת דרך בתחום המדיקל בנתניה	"תיאור
הזדמנות לעסוק במערכת סופר מעניינת ומאתגרת טכנולוגית שנועדה להציל חיים!
אנחנו חברת סטארטאפ פורצת העוסקת בתחום הMachine Learning וAnalytics לעולם המדיקל. אנחנו מפתחים מערכת המאפשרת זיהוי מוקדם של התדרדרות של חולים בטיפול נמרץ!
המוצר כבר רץ היום בבתי חולים.
אנחנו נשמח לצרף אלינו מפתח/ת אוטומציה לפיתוח בPython בסביבת Big Data.
אנחנו שומרים על Work Life Balance וגמישים לעבודה מהבית.
שלחו קורות חיים ונהיה בקשר."	"דרישות
3 שנות נסיון באוטומציה Python תשתיות"
אינטרנט	QA Web	Experience QA Tester בחברת SaaS בפתח תקווה	"תיאור
להשתלבות בצוות בדיקות, דרוש/ה QA Tester עם שלוש שנות נסיון, לתפקיד הכולל בדיקות Web ועבודה עם SQL.
עוסקים בפיתוח פלטפורמת SaaS המאפשרת לספקי מוצרי ביטוח גישה נוחה וקלה להנגשת המוצרים לצרכנים.
מונים למעלה מ100 עובדים וממוקמים על קו רכבת, פתח תקווה."	"דרישות
- 3 שנות נסיון בבדיקות למערכת Web.
- ידע ב-SQL"
אינטרנט	QA Web	דרוש/ה QA בעל/ת שנה ניסיון בתחום עבור חברת הייטק בפתח תקוה	"תיאור
לחברת הייטק בפתח תקוה דרוש/ה QA בעל/ת ניסיון של שנה
במסגרת התפקיד: בדיקות ידניות כולל בדיקות WEB , בדיקות
Client/Server , שימוש ב-DB בעיקר SQL וכן עבודה בצוות נהדר"	"דרישות
תואר ראשון - יתרון בלבד
קורס בדיקות - חובה
ניסיון של שנה בתחום - חובה
ניסיון בבדיקות WEB - חובה
ניסיון ב-SQL
נכונות ללמוד בדיקות מובייל"
אינטרנט	QA Web	Test Automation Engineer	"תיאור
Company is hiring Test Automation Engineers to join our team. They will take part in developing the test automation of APIs and Web.
This is a remote/work from home position in Israel.
Responsibilities
· Define, develop and execute test automation engineering tasks, which include analysis of test automation requirements and test cases, monitoring/analyzing test results, collecting test metrics and conducting test reporting.
· Collaborate with developers and product management to identify test requirements.
· Develop and improve automation testing methods and processes and improve overall quality of testing deliverable.
· Work with development team to understand assigned modules/new product features for the purpose of developing test cases.
· Communicate with teams in the US during all phases of development.
Why work for us?
We believe allowing our employees maximum flexibility allows them to produce the best work product. As a result we let our employees work hours that are convenient for them and from home as much as they want (several of our employees only come in once a month). We offer competitive compensation and place a strong emphasis on our employees’ satisfaction and growth."	"דרישות
Requirements
· At least 4 years of QA Automation experience.
· Hands on experience in Java/C#, working with REST APIs – a must.
· Hands on experience in Selenium – a must.
· Experience in developing performance & SOAK tests.
· Experience with CI platforms such as TeamCity or Jenkins.
· Experience using Apache Jmeter - a plus.
· Experience using Appium - a plus.
· High level of English (both written and spoken).
· Conversational level of Hebrew."
אינטרנט	QA Web	QA Network Engineer	"תיאור
חברת תקשורת שמפתחת פתרון Cloud פורץ דרך יעיל וחסכוני להאצת תקשורת אינטרנט.
החברה ממוקמת ברעננה, מונה כ-300 עובדים ונמצאת לאחר סבב גיוס ראשון של 110 מיליון דולר.
מחפשים QA Network Engineer
מיקום: רעננה"	"דרישות
שנתיים ניסיון לפחות בבדיקות ידניות לצד ה-Server וה-Client
ניסיון ב-Networking והבנה במודל 7 השכבות
ניסיון עם בסיסי נתונים ומערכות מבוססות Web
ניסיון בכתיבת מסמכי STP,STD,STR
ניסיון עם Linux
ניסיון עם Docker containers
ניסיון במתודולוגיית Agile
אנגלית ברמה גבוהה
היכרות עם Web Services
ניסיון עם SOAP UI"
אינטרנט	QA Web	בודק/ת תוכנה לעולם הדיגיטל	"תיאור
חברה פיננסית גדולה מחפשת בודק/ת תוכנה מנוסה לעולם הדיגיטל שיצטרף/תצטרף לצוות מוביל ומקצועי.
עבודה מול מסמכי אפיון, כתיבת מסמכי בדיקות, כתיבת SQL.
עבודה מגוונת בצוות, הכוללת תמיכה בפרויקטים שונים, יישום תהליכים דיגיטליים ועוד."	"דרישות
3-5 שנות ניסיון בתכנון וביצוע בבדיקות בפרויקטי תוכנה בעולם הדיגיטל- חובה
ניסיון בקריאה והבנה של מסמכי אפיו , כתיבת מסמכי STR ו-STD והבנה במתודולוגיית בדיקות- חובה
כתיבת SQL- חובה
ניסיון עם SoapUI /XML - חובה
ניסיון עם QC
ניסיון בבדיקות ל- REST API, JSON, HTTP
נכונות לעבודה מגוונת- תמיכה בניהול פרויקטים, ביצוע קונפיגורציות, יישום תהליכים דיגיטליים ועוד.
יכולת עבודה בצוות, דייקנות, יכולת ארגון, עבודה בתנאי לחץ ותודעת שירות גבוהה"
אינטרנט	QA Web	QA ידני	"תיאור
לחברת תקשורת מובילה באזור השרון דרוש/ה QA ידני להשתלבות בצוות מנוסה."	"דרישות
מינימום שנתיים ניסיון כ- QA ידני
ניסיון בכתיבת מסמכי בדיקות STD
היכרות עם quality Center
ניסיון בכתיבת שאילתות SQL מורכבות Oracle + SQL SERVER
ידע ב- LINUX - יתרון למי שכותב סקריפטים
הכרות עם מתודולוגיות בדיקות
אנגלית ברמה גבוהה"
אינטרנט	QA Web	בודק/ת תוכנה לתחום ה-Ecommerce	"תיאור
למחלקת ה- Ecommerce של אלעד מערכות אנו מחפשים בודק/ת תוכנה מנוסה לעבודה במשרה מלאה ברמת החייל.
התפקיד יכלול ביצוע בדיקות ידניות למערכות מג’נטו ו Salesforce commerce."	"דרישות
- ניסיון של שנתיים לפחות בביצוע בדיקות ידניות.
- ניסיון מעולם ה-Ecommerce יהווה יתרון משמעותי.
- אנגלית ברמה גבוהה מאוד- שיחה, כתיבה, דיבור. "
